Term name	P-D Coefficient
mannosylglycerate transmembrane transporter activity	0.000
glucosylglycerol transmembrane transporter activity	0.000
hexose transmembrane transporter activity	0.000
sorbose transmembrane transporter activity	0.000
allose transmembrane transporter activity	0.000
mannose transmembrane transporter activity	0.000
rhamnose transmembrane transporter activity	0.000
fucose transmembrane transporter activity	0.000
glucose transmembrane transporter activity	0.000
D-glucose transmembrane transporter activity	0.000
galactose transmembrane transporter activity	0.000
fructose transmembrane transporter activity	0.000
high affinity fructose transmembrane transporter activity	0.000
pentose transmembrane transporter activity	0.000
arabinose transmembrane transporter activity	0.000
arabinose polymer transmembrane transporter activity	0.000
L-arabinose transmembrane transporter activity	0.000
D-ribose transmembrane transporter activity	0.000
D-xylose transmembrane transporter activity	0.000
galactitol transmembrane transporter activity	0.000
mannitol transmembrane transporter activity	0.000
glycerol transmembrane transporter activity	0.000
arabitol transmembrane transporter activity	0.000
hexuronide transmembrane transporter activity	0.000
polysaccharide transmembrane transporter activity	0.000
maltodextrin transmembrane transporter activity	0.000
dextrin transmembrane transporter activity	0.000
capsular polysaccharide transmembrane transporter activity	0.000
beta-glucan transmembrane transporter activity	0.000
oligogalacturonide transmembrane transporter activity	0.000
raffinose transmembrane transporter activity	0.000
cellobiose transmembrane transporter activity	0.000
trehalose transmembrane transporter activity	0.000
melibiose transmembrane transporter activity	0.000
lactose transmembrane transporter activity	0.000
maltose transmembrane transporter activity	0.000
arsenate ion transmembrane transporter activity	0.000
tungstate transmembrane transporter activity	0.000
borate transmembrane transporter activity	0.000
tellurite transmembrane transporter activity	0.000
thiosulfate transmembrane transporter activity	0.000
nucleotide-sulfate transmembrane transporter activity	0.000
silicate transmembrane transporter activity	0.000
high affinity phosphate transmembrane transporter activity	0.000
sodium-dependent phosphate transmembrane transporter activity	0.000
low affinity phosphate transmembrane transporter activity	0.000
nitrite transmembrane transporter activity	0.000
low affinity nitrate transmembrane transporter activity	0.000
iodide transmembrane transporter activity	0.000
cyanate transmembrane transporter activity	0.000
chromate transmembrane transporter activity	0.000
chlorate transmembrane transporter activity	0.000
arsenite transmembrane transporter activity	0.000
antimonite transmembrane transporter activity	0.000
molybdate ion transmembrane transporter activity	0.000
sodium-dependent organic anion transmembrane transporter activity	0.000
pyridoxal phosphate transmembrane transporter activity	0.000
organophosphate ester transmembrane transporter activity	0.000
FAD transmembrane transporter activity	0.000
molybdenum ion transmembrane transporter activity	0.000
rubidium ion transmembrane transporter activity	0.000
pyridoxamine transmembrane transporter activity	0.000
trivalent inorganic cation transmembrane transporter activity	0.000
aluminum ion transmembrane transporter activity	0.000
mercury ion transmembrane transporter activity	0.000
lead ion transmembrane transporter activity	0.000
cadmium ion transmembrane transporter activity	0.000
cadmium-transporting ATPase activity	0.000
zinc ion transmembrane transporter activity	0.000
zinc transporting ATPase activity	0.000
chromium ion transmembrane transporter activity	0.000
vanadium ion transmembrane transporter activity	0.000
nickel cation transmembrane transporter activity	0.000
high-affinity nickel cation transmembrane transporter activity	0.000
cobalt ion transmembrane transporter activity	0.000
silver ion transmembrane transporter activity	0.000
ferrous iron transmembrane transporter activity	0.000
ferrous iron uptake transmembrane transporter activity	0.000
ferric iron transmembrane transporter activity	0.000
ferric triacetylfusarinine C transmembrane transporter activity	0.000
high affinity ferric uptake transmembrane transporter activity	0.000
low affinity iron ion transmembrane transporter activity	0.000
copper ion transmembrane transporter activity	0.000
copper chelate transmembrane transporter activity	0.000
copper-nicotianamine transmembrane transporter activity	0.000
high affinity copper ion transmembrane transporter activity	0.000
copper uptake transmembrane transporter activity	0.000
spermidine transmembrane transporter activity	0.000
putrescine transmembrane transporter activity	0.000
4-(trimethylammonio)butanoate transmembrane transporter activity	0.000
sphingosine transmembrane transporter activity	0.000
chlorophyll catabolite transmembrane transporter activity	0.000
modified amino acid transmembrane transporter activity	0.000
glutathione transmembrane transporter activity	0.000
p-aminobenzoyl-glutamate transmembrane transporter activity	0.000
pantothenate transmembrane transporter activity	0.000
creatine transmembrane transporter activity	0.000
D-amino acid transmembrane transporter activity	0.000
branched-chain amino acid transmembrane transporter activity	0.000
cationic amino acid transmembrane transporter activity	0.000
amino-acid betaine transmembrane transporter activity	0.000
L-hydroxyproline transmembrane transporter activity	0.000
L-diaminopimelate transmembrane transporter activity	0.000
homoserine transmembrane transporter activity	0.000
serine transmembrane transporter activity	0.000
D-serine transmembrane transporter activity	0.000
L-serine transmembrane transporter activity	0.000
D-alanine transmembrane transporter activity	0.000
L-threonine transmembrane transporter activity	0.000
L-proline transmembrane transporter activity	0.000
L-leucine transmembrane transporter activity	0.000
L-isoleucine transmembrane transporter activity	0.000
glycine transmembrane transporter activity	0.000
L-valine transmembrane transporter activity	0.000
L-lysine transmembrane transporter activity	0.000
arginine transmembrane transporter activity	0.000
L-arginine transmembrane transporter activity	0.000
high affinity basic amino acid transmembrane transporter activity	0.000
high affinity glutamine transmembrane transporter activity	0.000
high affinity lysine transmembrane transporter activity	0.000
high affinity L-histidine transmembrane transporter activity	0.000
high affinity arginine transmembrane transporter activity	0.000
L-tryptophan transmembrane transporter activity	0.000
low-affinity tryptophan transmembrane transporter activity	0.000
high-affinity tryptophan transmembrane transporter activity	0.000
L-phenylalanine transmembrane transporter activity	0.000
glucuronoside transmembrane transporter activity	0.000
tricarboxylic acid transmembrane transporter activity	0.000
citrate transmembrane transporter activity	0.000
sialic acid transmembrane transporter activity	0.000
dethiobiotin transmembrane transporter activity	0.000
biotin transmembrane transporter activity	0.000
4-hydroxyphenylacetate transmembrane transporter activity	0.000
beta-hydroxybutyrate transmembrane transporter activity	0.000
icosanoid transmembrane transporter activity	0.000
prostaglandin transmembrane transporter activity	0.000
ectoine transmembrane transporter activity	0.000
pyruvate transmembrane transporter activity	0.000
glycolate transmembrane transporter activity	0.000
3-phenylpropionic acid transmembrane transporter activity	0.000
aldonate transmembrane transporter activity	0.000
glycerate transmembrane transporter activity	0.000
D-galactonate transmembrane transporter activity	0.000
L-idonate transmembrane transporter activity	0.000
gluconate transmembrane transporter activity	0.000
hydroxyectoine transmembrane transporter activity	0.000
propionate transmembrane transporter activity	0.000
shikimate transmembrane transporter activity	0.000
formate transmembrane transporter activity	0.000
carnitine transmembrane transporter activity	0.000
(R)-carnitine transmembrane transporter activity	0.000
gamma-aminobutyric acid transmembrane transporter activity	0.000
uronic acid transmembrane transporter activity	0.000
hexuronate transmembrane transporter activity	0.000
galacturonate transmembrane transporter activity	0.000
glucuronate transmembrane transporter activity	0.000
D-glucuronate transmembrane transporter activity	0.000
mevalonate transmembrane transporter activity	0.000
lactate transmembrane transporter activity	0.000
canalicular bile acid transmembrane transporter activity	0.000
allantoate transmembrane transporter activity	0.000
acetate transmembrane transporter activity	0.000
malonate(1-) transmembrane transporter activity	0.000
aldarate transmembrane transporter activity	0.000
D-glucarate transmembrane transporter activity	0.000
D-galactarate transmembrane transporter activity	0.000
isopropylmalate transmembrane transporter activity	0.000
succinate transmembrane transporter activity	0.000
alpha-ketoglutarate transmembrane transporter activity	0.000
fumarate transmembrane transporter activity	0.000
oxaloacetate transmembrane transporter activity	0.000
bilirubin transmembrane transporter activity	0.000
urate transmembrane transporter activity	0.000
phosphoglycerate transmembrane transporter activity	0.000
transmembrane electron transfer carrier	0.000
transmembrane 2-electron transfer carrier	0.000
transmembrane 1-electron transfer carrier	0.000
2-aminoethylphosphonate transmembrane transporter activity	0.000
active ion transmembrane transporter activity	0.000
sorbitol transmembrane transporter activity	0.000
cadaverine transmembrane transporter activity	0.000
light-driven active transmembrane transporter activity	0.000
oxidoreduction-driven active transmembrane transporter activity	0.000
methyl transfer-driven active transmembrane transporter activity	0.000
decarboxylation-driven active transmembrane transporter activity	0.000
transferrin transmembrane transporter activity	0.000
lactoferrin transmembrane transporter activity	0.000
bacteriocin transmembrane transporter activity	0.000
colicin transmembrane transporter activity	0.000
group A colicin transmembrane transporter activity	0.000
antimonite secondary active transmembrane transporter activity	0.000
proton-dependent peptide secondary active transmembrane transporter activity	0.000
facilitated diffusion	0.000
membrane potential driven uniporter activity	0.000
potassium ion uniporter activity	0.000
sodium ion uniporter activity	0.000
arginine targeting transmembrane transporter activity	0.000
phenyl propionate uptake uniporter activity	0.000
secondary active cyanate uptake transmembrane transporter activity	0.000
glutathione-regulated potassium exporter activity	0.000
low affinity secondary active ammonium transmembrane transporter activity	0.000
high affinity secondary active ammonium transmembrane transporter activity	0.000
nucleoside transmembrane transporter activity, down a concentration gradient	0.000
secondary active monocarboxylate transmembrane transporter activity	0.000
secondary active sterol transmembrane transporter activity	0.000
bilirubin secondary active transmembrane transporter activity	0.000
thyroid hormone transmembrane transporter activity	0.000
peptide-acetyl-CoA secondary active transmembrane transporter activity	0.000
secondary active oligopeptide transmembrane transporter activity	0.000
proton-dependent oligopeptide secondary active transmembrane transporter activity	0.000
glutamate:gamma-aminobutyric acid antiporter activity	0.000
tyrosine:tyramine antiporter activity	0.000
histidine:histamine antiporter activity	0.000
aspartate:alanine antiporter activity	0.000
voltage-gated sulfate antiporter activity	0.000
(R)-carnitine:4-(trimethylammonio)butanoate antiporter activity	0.000
lysine:cadaverine antiporter activity	0.000
arginine:agmatine antiporter activity	0.000
agmatine:putrescine antiporter activity	0.000
arginine:ornithine antiporter activity	0.000
potassium ion antiporter activity	0.000
dicarboxylate:inorganic phosphate antiporter activity	0.000
acetyl-CoA:CoA antiporter activity	0.000
tartrate:succinate antiporter activity	0.000
organophosphate:inorganic phosphate antiporter activity	0.000
glyceraldehyde 3-phosphate:inorganic phosphate antiporter activity	0.000
glycerone phosphate:inorganic phosphate antiporter activity	0.000
glycerol-phosphate:inorganic phosphate antiporter activity	0.000
hexose-phosphate:inorganic phosphate antiporter activity	0.000
glucose 6-phosphate:inorganic phosphate antiporter activity	0.000
glucose 6-phosphate:phosphate antiporter activity	0.000
phosphoenolpyruvate:phosphate antiporter activity	0.000
triose-phosphate:phosphate antiporter activity	0.000
calcium:cation antiporter activity	0.000
calcium, potassium:sodium antiporter activity	0.000
calcium:sodium antiporter activity	0.000
calcium:sodium antiporter activity involved in regulation of cardiac muscle cell membrane potential	0.000
calcium:hydrogen antiporter activity	0.000
acridine:hydrogen antiporter activity	0.000
polyamine:hydrogen antiporter activity	0.000
monovalent cation:hydrogen antiporter activity	0.000
